_Pos,Team,Weighted Matches,Points,Rating
1,England,54,"6,745",125
2,India,64,"7,748",121
3,New Zealand,43,"4,837",112
4,South Africa,47,"5,193",110
5,Australia,53,"5,854",110
6,Pakistan,51,"5,019",98
7,Bangladesh,46,"3,963",86
8,Sri Lanka,56,"4,520",81
9,West Indies,57,"4,573",80
10,Afghanistan,43,"2,440",57
11,Ireland,31,"1,525",49
12,Zimbabwe,35,"1,538",44
13,Netherlands,6,222,37
14,Scotland,18,537,30
15,United States,12,299,25
16,Oman,10,199,20
17,Nepal,8,152,19
18,Namibia,11,177,16
19,UAE,21,285,14
20,Papua New Guinea,17,0,0
